request_id,submitted_at,service_id,channel_id,district_id,department_id,priority,status,resolved_at,resolution_hours,satisfaction_score,citizen_age_band,sla_met
1000000,2024-04-13 09:53:00,11,3,103,1,Low,Resolved,2024-04-18 22:53:00,133.0,5.0,65+,0
1000001,2024-06-30 03:35:00,15,5,100,3,Medium,Resolved,2024-07-05 09:59:00,126.4,1.0,18-24,0
1000002,2024-01-05 20:38:00,13,3,103,2,Low,Resolved,2024-01-12 18:08:00,165.5,,18-24,0
1000003,2024-02-17 06:55:00,12,2,100,1,High,Open,,34.8,,35-44,
1000004,2024-11-22 22:36:00,12,1,105,1,Low,Resolved,2024-11-23 19:18:00,20.7,,35-44,1
1000005,2024-05-30 12:21:00,17,5,102,2,Low,Resolved,2024-05-31 16:09:00,27.8,,35-44,0
1000006,2024-07-15 06:59:00,18,2,103,5,Low,Resolved,2024-07-17 04:29:00,45.5,,25-34,1
1000007,2024-07-26 00:23:00,11,3,104,1,Medium,Resolved,2024-07-28 22:29:00,70.1,2.0,35-44,0
1000008,2024-11-04 06:55:00,15,1,100,3,Low,Resolved,2024-11-09 05:37:00,118.7,,35-44,1
1000009,2024-09-15 23:29:00,12,3,102,1,Medium,Resolved,2024-09-16 20:47:00,21.3,2.0,25-34,1
1000010,2024-02-09 00:06:00,19,2,103,5,Medium,Resolved,2024-02-10 18:06:00,42.0,,35-44,1
1000011,2024-03-19 09:52:00,18,3,101,5,Medium,Resolved,2024-03-21 14:04:00,52.2,,25-34,1
1000012,2025-02-21 06:50:00,15,1,102,3,Medium,Resolved,2025-02-25 00:08:00,89.3,2.0,55-64,1
1000013,2024-01-18 13:36:00,17,1,100,2,Medium,Open,,13.2,,55-64,
1000014,2025-02-26 04:20:00,13,3,105,2,Medium,Resolved,2025-02-28 15:44:00,59.4,1.0,65+,1
1000015,2024-04-21 23:22:00,17,5,101,2,Medium,Resolved,2024-04-23 07:52:00,32.5,5.0,25-34,0
1000016,2024-01-06 20:24:00,13,1,102,2,Medium,Resolved,2024-01-11 01:12:00,100.8,,35-44,0
1000017,2024-07-18 16:56:00,12,5,105,1,Medium,Open,,21.5,,55-64,
1000018,2024-08-13 02:32:00,11,1,100,1,Medium,Resolved,2024-08-14 09:50:00,31.3,,35-44,1
1000019,2025-01-20 03:14:00,11,2,102,1,Low,Resolved,2025-01-21 16:32:00,37.3,4.0,18-24,1
1000020,2024-06-02 15:25:00,13,5,101,2,Low,Open,,153.0,,55-64,
1000021,2024-08-28 23:33:00,13,3,102,2,Low,Resolved,2024-09-05 17:33:00,186.0,2.0,25-34,0
1000022,2024-01-16 16:17:00,16,5,101,4,Medium,Resolved,2024-01-18 12:11:00,43.9,,18-24,1
1000023,2024-11-17 10:11:00,10,2,103,1,Medium,Resolved,2024-11-18 12:23:00,26.2,4.0,35-44,0
1000024,2024-04-23 13:44:00,13,5,103,2,Low,Resolved,2024-05-01 07:26:00,185.7,,35-44,0
1000025,2024-11-02 10:31:00,12,3,104,1,High,Resolved,2024-11-03 02:55:00,16.4,2.0,18-24,1
1000026,2025-02-01 06:33:00,11,3,100,1,Low,Resolved,2025-02-06 09:33:00,123.0,3.0,18-24,0
1000027,2024-12-09 07:44:00,15,2,105,3,Medium,Reopened,2024-12-12 05:32:00,69.8,,35-44,1
1000028,2024-04-10 19:13:00,13,5,105,2,Medium,Open,,119.3,,25-34,
1000029,2024-01-06 19:11:00,12,1,105,1,Medium,Resolved,2024-01-07 10:35:00,15.4,5.0,55-64,1
1000030,2024-08-31 19:19:00,11,1,104,1,Low,Resolved,2024-09-03 18:43:00,71.4,,65+,0
1000031,2024-09-08 16:38:00,18,1,103,5,Medium,Resolved,2024-09-10 01:20:00,32.7,2.0,65+,1
1000032,2024-06-04 19:08:00,17,3,101,2,High,Resolved,2024-06-05 08:32:00,13.4,4.0,18-24,1
1000033,2024-06-12 05:01:00,15,5,102,3,Medium,Resolved,2024-06-14 15:07:00,58.1,2.0,45-54,1
1000034,2024-05-09 20:50:00,12,2,100,1,Low,Resolved,2024-05-12 07:26:00,58.6,,35-44,0
1000035,2025-01-24 22:34:00,19,1,103,5,High,Resolved,2025-01-26 18:46:00,44.2,,35-44,1
1000036,2024-07-19 20:58:00,14,5,100,3,Low,Resolved,2024-07-28 00:34:00,195.6,,55-64,1
1000037,2024-07-15 22:49:00,13,2,103,2,Medium,Resolved,2024-07-19 08:37:00,81.8,1.0,35-44,0
1000038,2024-01-16 00:58:00,18,2,103,5,Low,Resolved,2024-01-18 04:10:00,51.2,,65+,1
1000039,2024-02-19 20:24:00,12,2,105,1,Low,Resolved,2024-02-22 07:12:00,58.8,,35-44,0
1000040,2024-07-31 00:59:00,16,4,103,4,Medium,Resolved,2024-08-04 04:23:00,99.4,2.0,25-34,0
1000041,2024-05-14 10:20:00,12,2,105,1,Medium,Resolved,2024-05-16 08:08:00,45.8,5.0,45-54,0
1000042,2025-01-11 23:19:00,11,1,105,1,Medium,Open,,13.4,,25-34,
1000043,2025-02-22 14:51:00,16,5,105,4,Low,Resolved,2025-02-24 12:15:00,45.4,,45-54,1
1000044,2024-03-18 18:15:00,11,1,105,1,Low,Resolved,2024-03-20 06:57:00,36.7,4.0,18-24,1
1000045,2024-10-05 10:55:00,13,2,102,2,Low,Reopened,2024-10-07 19:55:00,57.0,,18-24,1
1000046,2024-02-11 00:16:00,14,2,100,3,Low,Open,,161.3,,45-54,
1000047,2024-10-24 02:34:00,11,2,100,1,Low,Open,,59.6,,25-34,
1000048,2024-12-20 18:33:00,16,1,100,4,Low,Resolved,2024-12-23 09:51:00,63.3,3.0,25-34,0
1000049,2024-08-06 02:56:00,14,3,104,3,Low,Resolved,2024-09-01 13:50:00,634.9,1.0,25-34,0
1000050,2025-02-01 00:58:00,15,3,104,3,Low,Resolved,2025-02-10 23:52:00,238.9,,18-24,0
1000051,2024-05-16 04:24:00,12,1,103,1,Medium,Resolved,2024-05-17 14:30:00,34.1,1.0,55-64,0
1000052,2024-12-24 22:34:00,12,1,104,1,Medium,Reopened,2024-12-26 02:58:00,28.4,1.0,65+,0
1000053,2024-04-13 04:52:00,13,1,103,2,Low,Resolved,2024-04-15 17:28:00,60.6,,25-34,1
1000054,2024-02-10 02:52:00,13,3,101,2,High,Resolved,2024-02-11 20:22:00,41.5,2.0,35-44,1
1000055,2024-09-18 05:38:00,16,5,102,4,Low,Resolved,2024-09-22 13:44:00,104.1,3.0,25-34,0
1000056,2025-02-09 01:03:00,14,2,104,3,High,Resolved,2025-02-13 01:21:00,96.3,4.0,45-54,1
1000057,2024-11-24 17:22:00,12,5,103,1,Low,Open,,40.7,,25-34,
1000058,2024-06-22 02:43:00,10,3,105,1,Medium,Open,,50.6,,18-24,
1000059,2024-06-29 09:44:00,17,2,102,2,High,Resolved,2024-06-30 08:14:00,22.5,4.0,18-24,1
1000060,2025-01-07 20:41:00,13,2,104,2,Medium,Resolved,2025-01-11 14:05:00,89.4,5.0,65+,0
1000061,2024-03-17 17:36:00,12,4,104,1,Medium,Resolved,2024-03-19 00:18:00,30.7,5.0,45-54,0
1000062,2024-06-11 19:23:00,13,4,105,2,Low,Resolved,2024-06-21 12:17:00,232.9,2.0,25-34,0
1000063,2024-01-28 14:53:00,10,3,100,1,Low,Resolved,2024-01-29 06:29:00,15.6,3.0,18-24,1
1000064,2025-01-03 20:33:00,18,2,101,5,Medium,Resolved,2025-01-06 18:45:00,70.2,4.0,45-54,1
1000065,2024-04-26 08:20:00,19,3,103,5,Low,Reopened,2024-05-01 05:08:00,116.8,5.0,45-54,0
1000066,2025-02-17 18:20:00,10,1,104,1,High,Resolved,2025-02-18 01:38:00,7.3,2.0,65+,1
