request_id,submitted_at,service_id,channel_id,district_id,department_id,priority,status,resolved_at,resolution_hours,satisfaction_score,citizen_age_band
1003304,2024-07-13 06:38:00,13,1,101,2,Low,Open,,99.2,,35-44
1011864,22-May-2024 13:06,19,2,100,5,High,Resolved,2024-05-24 09:36:00,44.5,,25-34
1001507,2024-02-13 01:07:00,10,1,104,1,Low,Resolved,2024-02-13 16:43:00,15.6,,25-34
1004483,24-Sep-2024 08:11,13,5,104,2,Medium,Resolved,2024-10-01 07:29:00,167.3,4.0,18-24
1004626,2024-07-08 07:16:00,10,5,105,1, High ,Resolved,2024-07-09 00:04:00,16.8,1.0,55-64
1011194,2025-02-23 16:24:00,12,4,101,1,Medium,Reopened,2025-02-25 13:54:00,45.5,4.0,35-44
1009804,2024-07-05 20:04:00,11,3,103,1,Medium,Resolved,2024-07-07 03:28:00,31.4,,65+
1005225,16-Jan-2024 07:06,16,2,104,4,Medium,Resolved,2024-01-17 18:42:00,35.6,4.0,18-24
1011295,31-Jul-2024 22:19,12,2,105,1,High,Resolved,2024-08-01 15:07:00,16.8,2.0,65+
1001934,2024-02-26 16:33:00,12,1,103,1,HIGH,Resolved,2024-02-27 05:21:00,12.8,3.0,35-44
1007963,2024-09-01 06:24:00,15,2,101,3,Medium,Resolved,2024-09-05 10:12:00,99.8,2.0,45-54
1007103,02-Jan-2025 21:34,16,2,101,4,Medium,Resolved,2025-01-05 16:52:00,67.3,1.0,25-34
1005984,03-Jan-2024 21:51,12,1,102,1,High,Resolved,2024-01-04 21:51:00,24.0,,
1004543,2024-01-01 07:19:00,10,1,103,1,High,Resolved,2024-01-01 19:13:00,11.9,,55-64
1008451,15-Nov-2024 11:36,19,3,103,5,MEDIUM,Resolved,2024-11-23 02:06:00,182.5,2.0,25-34
1005228,2024-03-31 06:56:00,12,2,103,1,Low,Resolved,2024-04-01 07:38:00,24.7,2.0,35-44
1011737,2024-07-11 13:36:00,10,2,103,1,Medium,Resolved,2024-07-13 06:30:00,40.9,3.0,25-34
1006490,2024-04-26 23:27:00,19,1,100,5,Low,Open,,111.5,,25-34
1009187,2024-06-13 03:35:00,10,5,102,1,Low,Resolved,2024-06-14 08:17:00,28.7,3.0,65+
1010831,2024-09-26 03:07:00,10,3,103,1,Low,Resolved,2024-09-27 04:49:00,25.7,3.0,25-34
1009922,2024-05-05 14:21:00,16,5,105,4,Low,Resolved,2024-05-07 22:21:00,56.0,4.0,25-34
1006542,2024-12-06 23:37:00,10,5,102,1, Medium ,Resolved,2024-12-07 15:49:00,16.2,1.0,25-34
1008776,2024-11-04 10:25:00,16,1,102,4,Medium,Resolved,2024-11-06 09:25:00,47.0,,45-54
1006753,2024-05-15 06:56:00,13,3,105,2,High,Resolved,2024-05-19 23:38:00,112.7,5.0,
1008848,2024-07-18 21:17:00,16,5,100,4,Low,Resolved,2024-07-21 08:17:00,59.0,,25-34
1007066,2025-01-18 11:38:00,12,3,105,1,MEDIUM,Resolved,2025-01-19 05:50:00,18.2,,35-44
1003343,2024-11-16 05:55:00,12,3,102,1,Low,Resolved,2024-11-18 00:25:00,42.5,1.0,
1002904,2024-11-06 08:38:00,18,5,102,5,Medium,Resolved,2024-11-08 07:44:00,47.1,,
1000599,23-Jun-2024 11:50,10,1,103,1,Medium,Resolved,2024-06-24 01:56:00,14.1,1.0,18-24
1004289,18-Apr-2024 08:23,12,3,103,1,Medium,Resolved,2024-04-19 21:17:00,36.9,1.0,18-24
1004145,2024-11-23 06:00:00,12,3,103,1,Low,Open,,96.4,,55-64
1002460,07-Apr-2024 23:00,16,1,102,4,Medium,Resolved,2024-04-09 12:36:00,37.6,2.0,65+
1009670,2025-01-09 03:35:00,11,3,100,1,LOW,Resolved,2025-01-09 00:35:00,90.8,3.0,45-54
1001490,2024-12-28 06:57:00,17,5,104,2,High,Resolved,2024-12-28 14:09:00,7.2,5.0,18-24
1010121,2024-08-05 13:09:00,10,5,103,1,Low,Resolved,2024-08-05 21:15:00,8.1,2.0,18-24
1011447,2024-02-18 01:56:00,13,1,104,2, MEDIUM ,Resolved,2024-02-22 17:32:00,111.6,2.0,65+
1007945,2025-02-01 05:36:00,12,5,102,1,Medium,Resolved,2025-02-01 22:12:00,16.6,,55-64
1000527,2024-10-05 01:31:00,19,1,100,5,Medium,Resolved,2024-10-08 23:49:00,94.3,5.0,45-54
1006420,2024-03-31 02:30:00,10,1,102,1,MEDIUM,Resolved,2024-03-31 17:48:00,15.3,4.0,18-24
1000113,2024-04-16 01:37:00,10,2,103,1,Medium,Resolved,2024-04-16 17:55:00,16.3,5.0,18-24
1007994,2024-03-13 14:54:00,11,2,104,1,Medium,Open,,31.5,,
1003956,2024-06-08 04:41:00,18,2,103,5,Medium,Resolved,2024-06-09 22:17:00,41.6,3.0,35-44
1007511,2024-08-05 11:23:00,12,5,104,1,Low,Resolved,2024-08-06 22:05:00,34.7,,65+
1007184,2024-11-06 13:20:00,18,3,103,5,Medium,Resolved,2024-11-09 05:38:00,64.3,5.0,35-44
1001687,2024-03-01 09:34:00,17,3,100,2,Low,Open,,40.6,,45-54
1004018,2024-11-21 20:53:00,11,2,102,1, Medium ,Open,,69.9,,18-24
1010901,2024-12-20 05:43:00,17,2,104,2,Low,Reopened,2024-12-21 00:01:00,18.3,3.0,18-24
1010120,2025-01-25 16:37:00,18,3,103,5,LOW,Resolved,2025-01-29 10:19:00,89.7,,55-64
1000268,2024-02-20 06:55:00,18,1,104,5, Low ,Resolved,2024-02-23 23:25:00,88.5,2.0,65+
1007823,2024-01-13 16:16:00,14,1,103,3,LOW,Resolved,2024-02-01 05:16:00,445.0,4.0,45-54
1008330,2025-01-20 04:13:00,17,5,104,2,LOW,Resolved,2025-01-22 05:43:00,49.5,2.0,45-54
