basket_id,item
1,Bananas
1,Bread
1,Butter
1,Cheese
1,Crisps
1,Pasta
1,Soft Drinks
2,Baby Wipes
2,Coffee
2,Crisps
2,Eggs
2,Nappies
2,Sugar
2,Tea
3,Cheese
3,Pasta
3,Tomato Sauce
4,Butter
4,Cheese
4,Crisps
4,Eggs
4,Milk
4,Pasta
5,Baby Wipes
5,Coffee
5,Crisps
5,Nappies
5,Soft Drinks
5,Sugar
6,Bananas
6,Cheese
6,Milk
6,Soft Drinks
7,Bananas
7,Bread
7,Butter
7,Crisps
7,Soft Drinks
7,Tomato Sauce
8,Coffee
8,Milk
8,Sugar
8,Tea
9,Bread
9,Butter
9,Coffee
9,Eggs
9,Pasta
9,Tomato Sauce
10,Baby Wipes
10,Bread
10,Butter
10,Crisps
10,Eggs
10,Milk
10,Nappies
10,Soft Drinks
10,Tea
11,Baby Wipes
11,Bananas
11,Cheese
11,Crisps
11,Pasta
11,Soft Drinks
11,Tomato Sauce
12,Baby Wipes
12,Butter
12,Nappies
13,Baby Wipes
13,Bread
13,Butter
13,Coffee
13,Crisps
13,Nappies
13,Tomato Sauce
14,Bread
14,Butter
14,Cheese
14,Coffee
14,Crisps
14,Eggs
14,Sugar
15,Baby Wipes
15,Bananas
15,Cheese
15,Coffee
15,Nappies
15,Pasta
16,Bananas
16,Tea
17,Baby Wipes
17,Bread
17,Cheese
17,Eggs
17,Nappies
18,Cheese
18,Coffee
18,Milk
18,Soft Drinks
18,Sugar
18,Tea
19,Bread
19,Coffee
19,Milk
19,Pasta
19,Sugar
19,Tomato Sauce
20,Coffee
20,Crisps
20,Eggs
20,Milk
20,Soft Drinks
20,Sugar
20,Tea
20,Tomato Sauce
21,Baby Wipes
21,Bread
21,Butter
21,Soft Drinks
21,Sugar
22,Baby Wipes
22,Tea
23,Bread
23,Butter
23,Crisps
23,Milk
23,Pasta
23,Tea
23,Tomato Sauce
24,Baby Wipes
24,Bananas
24,Coffee
24,Milk
24,Pasta
24,Sugar
24,Tea
25,Crisps
25,Eggs
25,Milk
25,Tea
26,Eggs
26,Tomato Sauce
27,Baby Wipes
27,Bananas
27,Milk
27,Soft Drinks
28,Butter
28,Cheese
28,Crisps
28,Eggs
28,Soft Drinks
29,Milk
29,Sugar
30,Cheese
30,Coffee
30,Pasta
30,Tea
30,Tomato Sauce
31,Cheese
31,Crisps
31,Milk
31,Soft Drinks
31,Tea
32,Bananas
32,Crisps
32,Eggs
32,Soft Drinks
33,Coffee
33,Crisps
33,Sugar
34,Sugar
34,Tea
35,Coffee
35,Crisps
35,Eggs
35,Soft Drinks
36,Butter
36,Soft Drinks
37,Bananas
37,Butter
37,Crisps
37,Soft Drinks
37,Tomato Sauce
38,Butter
38,Milk
38,Nappies
38,Tea
39,Bananas
39,Cheese
39,Tomato Sauce
40,Baby Wipes
40,Coffee
40,Nappies
40,Sugar
41,Baby Wipes
41,Cheese
41,Crisps
41,Nappies
42,Coffee
42,Eggs
42,Milk
42,Pasta
42,Sugar
42,Tomato Sauce
43,Baby Wipes
43,Coffee
43,Crisps
43,Milk
43,Nappies
43,Sugar
44,Baby Wipes
44,Eggs
44,Milk
44,Nappies
44,Pasta
44,Tea
44,Tomato Sauce
45,Baby Wipes
45,Soft Drinks
45,Tomato Sauce
46,Baby Wipes
46,Cheese
46,Coffee
46,Nappies
46,Sugar
46,Tomato Sauce
47,Baby Wipes
47,Bread
47,Butter
47,Coffee
47,Crisps
47,Nappies
47,Sugar
48,Crisps
48,Eggs
48,Milk
48,Pasta
48,Soft Drinks
48,Tea
49,Cheese
49,Coffee
49,Eggs
49,Sugar
50,Bananas
50,Crisps
50,Eggs
50,Pasta
50,Soft Drinks
50,Tea
50,Tomato Sauce
51,Bananas
51,Bread
51,Butter
51,Cheese
51,Milk
51,Pasta
52,Crisps
52,Soft Drinks
52,Sugar
52,Tomato Sauce
53,Baby Wipes
53,Cheese
53,Crisps
53,Eggs
53,Milk
53,Soft Drinks
54,Bananas
54,Bread
54,Coffee
54,Crisps
54,Pasta
54,Soft Drinks
55,Baby Wipes
55,Bananas
55,Bread
55,Crisps
55,Pasta
55,Soft Drinks
55,Tomato Sauce
56,Baby Wipes
56,Coffee
56,Nappies
56,Sugar
57,Cheese
57,Milk
57,Tea
58,Baby Wipes
58,Nappies
58,Pasta
58,Tomato Sauce
59,Cheese
59,Coffee
59,Sugar
60,Bread
60,Butter
60,Coffee
60,Crisps
60,Milk
60,Nappies
60,Soft Drinks
60,Tea
61,Baby Wipes
61,Bread
61,Butter
61,Cheese
61,Milk
61,Nappies
61,Soft Drinks
61,Sugar
61,Tea
62,Coffee
62,Crisps
62,Milk
62,Pasta
62,Soft Drinks
62,Sugar
63,Bananas
63,Milk
63,Tea
64,Bananas
64,Tea
65,Baby Wipes
65,Bread
65,Butter
65,Crisps
65,Milk
65,Nappies
65,Tea
66,Baby Wipes
66,Crisps
66,Eggs
66,Nappies
66,Soft Drinks
67,Butter
67,Crisps
68,Bananas
